index name x y z l
0 EElayerCell_01.0000.2 0 0 13.8625 1
1 EElayerCell_01.0001.2 0 1.12 13.8625 1
2 EElayerCell_01.0002.2 0 -1.12 13.8625 1
3 EElayerCell_01.0003.2 0 2.24 13.8625 1
4 EElayerCell_01.0004.2 0 -2.24 13.8625 1
5 EElayerCell_01.0005.2 0 3.36 13.8625 1
6 EElayerCell_01.0006.2 0 -3.36 13.8625 1
7 EElayerCell_01.0007.2 0 4.48 13.8625 1
8 EElayerCell_01.0008.2 0 -4.48 13.8625 1
9 EElayerCell_01.0009.2 0 5.6 13.8625 1
10 EElayerCell_01.0010.2 0 -5.6 13.8625 1
11 EElayerCell_01.0011.2 0.969948 0.56 13.8625 1
12 EElayerCell_01.0012.2 0.969948 -0.56 13.8625 1
13 EElayerCell_01.0013.2 -0.969948 0.56 13.8625 1
14 EElayerCell_01.0014.2 -0.969948 -0.56 13.8625 1
15 EElayerCell_01.0015.2 0.969948 1.68 13.8625 1
16 EElayerCell_01.0016.2 0.969948 -1.68 13.8625 1
17 EElayerCell_01.0017.2 -0.969948 1.68 13.8625 1
18 EElayerCell_01.0018.2 -0.969948 -1.68 13.8625 1
19 EElayerCell_01.0019.2 0.969948 2.8 13.8625 1
20 EElayerCell_01.0020.2 0.969948 -2.8 13.8625 1
21 EElayerCell_01.0021.2 -0.969948 2.8 13.8625 1
22 EElayerCell_01.0022.2 -0.969948 -2.8 13.8625 1
23 EElayerCell_01.0023.2 0.969948 3.92 13.8625 1
24 EElayerCell_01.0024.2 0.969948 -3.92 13.8625 1
25 EElayerCell_01.0025.2 -0.969948 3.92 13.8625 1
26 EElayerCell_01.0026.2 -0.969948 -3.92 13.8625 1
27 EElayerCell_01.0027.2 0.969948 5.04 13.8625 1
28 EElayerCell_01.0028.2 0.969948 -5.04 13.8625 1
29 EElayerCell_01.0029.2 -0.969948 5.04 13.8625 1
30 EElayerCell_01.0030.2 -0.969948 -5.04 13.8625 1
31 EElayerCell_01.0031.2 0.969948 6.16 13.8625 1
32 EElayerCell_01.0032.2 0.969948 -6.16 13.8625 1
33 EElayerCell_01.0033.2 -0.969948 6.16 13.8625 1
34 EElayerCell_01.0034.2 -0.969948 -6.16 13.8625 1
35 EElayerCell_01.0035.2 1.9399 0 13.8625 1
36 EElayerCell_01.0036.2 -1.9399 0 13.8625 1
37 EElayerCell_01.0037.2 1.9399 1.12 13.8625 1
38 EElayerCell_01.0038.2 1.9399 -1.12 13.8625 1
